seed,run_type,ft0,ft1,ft2,ft3,ft4,fs0,fa0,fa1,fa2,fa3,fa4,fa5,fflags,fcsr
seed_new_1,normal,4726199.2439,716.1188020829372,11.511806807248687,4.059194638774933,3.687890163283524,0.0,4180277.79165,851759.41015,4726142.7268,0.0,0.0,0.0,1.0,1.0
seed_new_1,drift,4726199.2439,13.64867353183449,4.688440613674139,0.7433837043251474,2.960504566648274,0.0,4180376.6995,851759.55675,4726142.586200001,0.0,0.0,0.0,1.0,1.0
seed_new_1,jump,4726199.2439,157.14718800113855,11.512129843556735,4.059446488813547,3.687896655377686,0.0,4180384.6994,852255.4413,4726142.4456,0.0,0.0,0.0,1.0,1.0
seed_new_1,replay,4726199.2439,12.475782154753706,8.850284498715238,2.576030102188451,2.524371948442071,0.0,4180273.6585,851760.7008,4726134.3786,0.0,0.0,0.0,1.0,1.0
seed_new_2,normal,4726199.2439,711.5498374569905,9.885918767668976,2.8277996464831943,2.4691367554475434,0.0,4180271.5459,851759.4192,4726139.2008,0.0,0.0,0.0,1.0,1.0
seed_new_2,drift,4726199.2439,15.188408250480641,17.162585415494853,8.656730630246559,3.6218540506854,0.0,4180381.5222,851759.4192,4726139.2008,0.0,0.0,0.0,1.0,1.0
seed_new_2,jump,4726199.2439,150.66459831263253,9.886137893183541,2.827946355192828,2.4692122479338123,0.0,4180390.3238,852254.8747,4726139.2008,0.0,0.0,0.0,1.0,1.0
seed_new_2,replay,4726199.2439,14.351388051440894,9.979339452103693,3.0128136501965592,2.60187674404575,0.0,4180288.174,851760.6972,4726131.2642,0.0,0.0,0.0,1.0,1.0
seed_new_3,normal,4726199.2439,702.2360268762109,10.258722666579981,1.5645569237330377,2.922595388627884,0.0,4180271.90815,851759.53825,4726140.34695,0.0,0.0,0.0,1.0,1.0
seed_new_3,drift,4726199.2439,14.351388051440894,9.979339452103693,3.0128136501965592,2.60187674404575,0.0,4180376.42185,851759.526,4726140.8056,0.0,0.0,0.0,1.0,1.0
seed_new_3,jump,4726199.2439,147.2065808403719,10.258609716852508,1.56447845128818,2.922621657849959,0.0,4180384.7025,852255.1473,4726140.8056,0.0,0.0,0.0,1.0,1.0
seed_new_3,replay,4726199.2439,6.162076320578007,9.886137947810411,2.827946391766963,2.469211692858166,0.0,4180279.8449,851760.5010500001,4726137.91375,0.0,0.0,0.0,1.0,1.0
seed_new_4,normal,4726199.2439,21.444473247773615,19.01715664485478,4.084374304816752,2.5016305553797733,0.0,4180351.2585,851768.2646,4726097.927,0.0,0.0,0.0,1.0,1.0
seed_new_4,drift,4726199.2439,9.97235627771885,8.158248266206302,2.2005992026945975,2.2742850486062762,0.0,4180378.07835,851759.919,4726141.54985,0.0,0.0,0.0,1.0,1.0
seed_new_4,jump,4726199.2439,146.4259042417173,19.017156320119906,4.084373886586339,2.501630386446658,0.0,4180380.3618,852255.1524,4726141.5568,0.0,0.0,0.0,1.0,1.0
seed_new_4,replay,4726199.2439,13.64867353183449,4.688440613674139,0.7433837043251474,2.960504566648274,0.0,4180279.8105,851761.5121,4726137.423800001,0.0,0.0,0.0,1.0,1.0
seed_new_5,normal,4726199.2439,21.444473247773615,19.01715664485478,4.084374304816752,2.5016305553797733,0.0,4180274.4433,851759.29575,4726140.7789,0.0,0.0,0.0,1.0,1.0
seed_new_5,drift,4726199.2439,712.3637817017908,30.343809427512006,10.972979025479265,5.117622427568347,0.0,4180376.6445,851759.8572,4726141.1675,0.0,0.0,0.0,1.0,1.0
seed_new_5,jump,4726199.2439,23.241288262636402,30.343878370144363,10.973120702545362,5.117595816853428,0.0,4180389.3928,852255.0162,4726141.1675,0.0,0.0,0.0,1.0,1.0
seed_new_5,replay,4726199.2439,152.68823622077844,30.343878216154067,10.973120386095044,5.11759554560862,0.0,4180279.55455,851760.8273,4726129.3395,0.0,0.0,0.0,1.0,1.0
